#{"t_start": 1783884472.7118273, "env_id": "LunarLander-v3"}
r,l,t
46.975643,1000,296.359319
151.825051,673,298.422764
161.620977,668,298.974144
-48.633591,412,299.273122
-129.149961,464,299.692229
113.68234,1000,302.396042
63.052742,1000,303.217498
45.026692,1000,305.572035
88.813012,1000,306.376959
165.032678,583,308.437335
78.148104,1000,314.397534
-56.357915,1000,316.69685
-50.485164,1000,317.469759
-57.27155,463,317.87824
-120.440479,495,318.252028
55.335413,1000,320.748512
-71.055583,1000,321.569024
132.39543,1000,323.873172
50.890999,1000,324.663673
-66.08635,567,326.880358
-22.78864,446,327.260485
-68.062002,1000,328.082628
70.183537,1000,330.539455
160.355614,587,331.035363
85.933144,1000,333.502552
-38.967445,1000,334.288678
-63.414272,562,334.746375
49.79308,1000,337.122968
-21.206879,1000,337.922724
-37.527397,1000,340.372726
99.990396,990,341.207207
-84.346136,452,343.092616
-143.375088,847,343.836945
-19.743113,486,344.184885
34.773081,1000,350.822945
63.26456,1000,351.635719
-97.298473,640,353.777257
142.706781,1000,354.59363
-19.045224,1000,356.834935
96.39975,782,357.481894
24.038856,1000,358.282424
122.997145,915,360.845846
33.339818,951,361.59944
-80.790433,374,361.90817
47.811114,1000,364.161676
-51.965654,1000,365.002896
170.308079,587,366.897664
29.824868,1000,367.666454
41.909349,1000,370.040016
-43.489121,1000,370.793728
89.457164,959,373.215145
50.400174,1000,374.000068
111.774289,805,376.200089
51.63562,1000,377.020392
138.148321,732,377.614306
147.184945,696,379.717126
39.757793,1000,385.173375
15.486703,1000,387.490869
134.26052,689,388.088808
-90.507244,809,388.73184
147.852401,528,390.948314
13.75923,1000,391.777509
-41.303507,461,392.16552
157.239256,631,393.969414
86.038291,1000,394.794841
138.141926,487,395.19658
147.469293,522,397.041101
-70.547195,1000,397.791698
62.127442,1000,400.182269
54.948729,1000,401.061718
89.465224,1000,403.582788
69.598916,1000,404.427557
183.471803,531,404.839185
77.070949,1000,407.151781
57.39702,1000,407.925612
-56.113016,629,409.971942
37.299217,1000,410.779524
44.824418,1000,413.284828
64.081984,1000,414.098316
170.028161,493,414.498815
75.961543,1000,417.103478
49.512193,1000,421.771394
-88.315317,514,423.857613
-93.618922,516,424.266764
27.621712,1000,425.142358
130.946367,662,427.24435
135.852087,702,427.901556
64.151787,1000,430.144572
6.591024,1000,430.997563
84.841238,1000,433.454691
48.021024,1000,434.320124
123.694552,682,434.829508
64.540636,970,437.018157
137.947328,726,437.585891
162.608906,663,438.136349
83.372423,1000,440.486066
50.642652,1000,441.269211
175.563215,402,443.014957
173.382909,582,443.503015
-36.239218,387,443.80776
86.577989,1000,446.29015
64.339141,1000,447.141264
73.078464,1000,449.506662
-96.74222,488,449.867186
83.410621,1000,450.662496
123.802344,700,452.719516
65.27153,1000,457.550276
-30.555589,467,457.9303
