#{"t_start": 1783885131.5194988, "env_id": "LunarLander-v3"}
r,l,t
-62.432656,256,39.770655
-37.225925,204,39.835403
-30.589225,334,39.940598
-107.525529,328,40.043987
-74.883182,271,40.553632
32.583252,1000,42.873342
-172.001076,536,43.050448
5.631586,317,43.151367
-66.251005,384,44.466006
117.230478,1000,44.808281
83.170894,1000,45.551601
-174.910297,975,45.858955
-42.711602,1000,46.61
176.661631,628,46.824697
93.643154,1000,47.164201
-90.974528,628,47.794397
-204.3495,1000,48.128825
-43.643546,1000,48.880526
61.339707,1000,49.205034
-69.739176,873,49.913872
44.550625,1000,50.231573
136.980377,1000,51.003288
131.695052,637,51.211277
12.04406,1000,51.537209
80.090103,1000,52.282708
26.59888,1000,52.610337
22.113149,1000,53.362316
-10.783185,363,53.480955
46.539724,1000,54.243302
73.548851,1000,56.995235
132.244444,1000,57.320198
93.276745,1000,58.869342
-64.415073,396,58.997783
88.86946,1000,59.745956
-19.439753,237,59.823868
109.804953,1000,60.158554
129.158955,1000,60.921376
-95.193475,345,61.044706
-56.402769,383,61.161975
161.288179,1000,61.926643
74.820159,1000,62.254235
73.781411,1000,63.790083
133.812526,1000,64.154336
119.402859,1000,64.894732
128.164832,1000,65.216068
-23.200152,406,65.338625
125.06499,1000,66.09264
106.685061,1000,66.418377
117.746235,1000,67.187937
117.042147,1000,67.514292
123.659779,1000,68.289904
127.858394,1000,68.628375
